Source,Latitude,Longitude,,,,
NSRDB,34.01,-118.3,,,,
Hour,GHI (2010),GHI (2011),GHI (2012),GHI (2013),GHI (2014),Average GHI [w/m2]
0,0,0,0,0,0,0
0.5,0,0,0,0,0,0
1,0,0,0,0,0,0
1.5,0,0,0,0,0,0
2,0,0,0,0,0,0
2.5,0,0,0,0,0,0
3,0,0,0,0,0,0
3.5,0,0,0,0,0,0
4,0,0,0,0,0,0
4.5,0,0,0,0,0,0
5,0,0,0,0,0,0
5.5,0,0,0,0,0,0
6,0,0,0,0,0,0
6.5,0,0,0,0,0,0
7,0,0,0,0,0,0
7.5,30,57,56,2,58,48
8,76,141,140,6,142,119
8.5,223,229,229,131,232,227
9,264,314,314,217,317,297
9.5,382,391,391,234,394,388
10,446,456,456,241,460,453
10.5,498,509,508,240,512,505
11,405,546,546,395,550,499
11.5,446,568,568,372,573,527
12,470,574,574,480,579,543
12.5,413,564,564,313,569,514
13,418,538,538,438,543,505
13.5,178,320,497,505,502,440
14,328,284,442,450,446,405
14.5,313,294,374,382,378,355
15,187,232,295,303,300,276
15.5,167,173,209,216,213,198
16,100,70,119,126,124,114
16.5,34,23,39,44,42,38
17,0,0,0,0,0,0
17.5,0,0,0,0,0,0
18,0,0,0,0,0,0
18.5,0,0,0,0,0,0
19,0,0,0,0,0,0
19.5,0,0,0,0,0,0
20,0,0,0,0,0,0
20.5,0,0,0,0,0,0
21,0,0,0,0,0,0
21.5,0,0,0,0,0,0
22,0,0,0,0,0,0
22.5,0,0,0,0,0,0
23,0,0,0,0,0,0
23.5,0,0,0,0,0,0
24,0,0,0,0,0,0
24.5,0,0,0,0,0,0
25,0,0,0,0,0,0
25.5,0,0,0,0,0,0
26,0,0,0,0,0,0
26.5,0,0,0,0,0,0
27,0,0,0,0,0,0
27.5,0,0,0,0,0,0
28,0,0,0,0,0,0
28.5,0,0,0,0,0,0
29,0,0,0,0,0,0
29.5,0,0,0,0,0,0
30,0,0,0,0,0,0
30.5,0,0,0,0,0,0
31,0,0,0,0,0,0
31.5,57,9,56,59,56,56
32,141,24,140,146,138,140
32.5,231,95,229,238,226,229
33,317,50,314,325,309,313
33.5,395,94,391,404,385,390
34,461,64,457,472,450,456
34.5,514,101,509,526,502,508
35,552,130,462,566,539,518
35.5,575,107,569,589,562,569
36,581,131,575,596,568,575
36.5,571,122,564,587,559,565
37,544,127,538,561,534,539
37.5,503,31,497,519,494,498
38,448,75,442,463,440,443
